F1,nobail_no,F3,F4,prefix,F5
1,1001001001,6,4,100,5
2,1001001002,6,4,100,5
3,1001001003,6,4,100,5
4,1001001004,6,4,100,5
5,1001001005,6,4,100,5
6,1001001006,6,4,100,5
7,1001001007,6,4,100,5
8,1001001008,6,4,100,5
9,1001001009,6,4,100,5
10,1001001010,6,4,100,5
11,1001001011,6,4,100,5
12,1001001012,6,4,100,5
13,1001001013,6,4,100,5
14,1001001014,6,4,100,5
15,1001001015,6,4,100,5
16,1001001016,6,4,100,5
17,1001001017,6,4,100,5
18,1001001018,6,4,100,5
19,1001001019,6,4,100,5
20,1001001020,6,4,100,5
21,1001001021,6,4,100,5
22,1001001022,6,4,100,5
23,1001001023,6,4,100,5
24,1001001024,6,4,100,5
25,1001001025,6,4,100,5
26,1001001026,6,4,100,5
27,1001001027,6,4,100,5
28,1001001028,6,4,100,5
29,1001001029,6,4,100,5
30,1001001030,6,4,100,5
31,1001001031,6,4,100,5
32,1001001032,6,4,100,5
33,1001001033,6,4,100,5
34,1001001034,6,4,100,5
35,1001001035,6,4,100,5
36,1001001036,6,4,100,5
37,1001001037,6,4,100,5
38,1001001038,6,4,100,5
39,1001001039,6,4,100,5
40,1001001040,6,4,100,5
41,1001001041,6,4,100,5
42,1001001042,6,4,100,5
43,1001001043,6,4,100,5
44,1001001044,6,4,100,5
45,1001001045,6,4,100,5
46,1001001046,6,4,100,5
47,1001001047,6,4,100,5
48,1001001048,6,4,100,5
49,1001001049,6,4,100,5
50,1001001050,6,4,100,5
51,1001001051,6,4,100,5
52,1001001052,6,4,100,5
53,1001001053,6,4,100,5
54,1001001054,6,4,100,5
55,1001001055,6,4,100,5
56,1001001056,6,4,100,5
57,1001001057,6,4,100,5
58,1001001058,6,4,100,5
59,1001001059,6,4,100,5
60,1001001060,6,4,100,5
61,1001001061,6,4,100,5
62,1001001062,6,4,100,5
63,1001001063,6,4,100,5
64,1001001064,6,4,100,5
65,1001001065,6,4,100,5
66,1001001066,6,4,100,5
67,1001001067,6,4,100,5
68,1001001068,6,4,100,5
69,1001001069,6,4,100,5
70,1001001070,6,4,100,5
71,1001001071,6,4,100,5
72,1001001072,6,4,100,5
73,1001001073,6,4,100,5
74,1001001074,6,4,100,5
75,1001001075,6,4,100,5
76,1001001076,6,4,100,5
77,1001001077,6,4,100,5
78,1001001078,6,4,100,5
79,1001001079,6,4,100,5
80,1001001080,6,4,100,5
81,1001001081,6,4,100,5
82,1001001082,6,4,100,5
83,1001001083,6,4,100,5
84,1001001084,6,4,100,5
85,1001001085,6,4,100,5
86,1001001086,6,4,100,5
87,1001001087,6,4,100,5
88,1001001088,6,4,100,5
89,1001001089,6,4,100,5
90,1001001090,6,4,100,5
91,1001001091,6,4,100,5
92,1001001092,6,4,100,5
93,1001001093,6,4,100,5
94,1001001094,6,4,100,5
95,1001001095,6,4,100,5
96,1001001096,6,4,100,5
97,1001001097,6,4,100,5
98,1001001098,6,4,100,5
99,1001001099,6,4,100,5
100,1001001100,6,4,100,5
101,1001001101,6,4,100,5
102,1001001102,6,4,100,5
103,1001001103,6,4,100,5
104,1001001104,6,4,100,5
105,1001001105,6,4,100,5
106,1001001106,6,4,100,5
107,1001001107,6,4,100,5
108,1001001108,6,4,100,5
109,1001001109,6,4,100,5
110,1001001110,6,4,100,5
111,1001001111,6,4,100,5
112,1001001112,6,4,100,5
113,1001001113,6,4,100,5
114,1001001114,6,4,100,5
115,1001001115,6,4,100,5
116,1001001116,6,4,100,5
117,1001001117,6,4,100,5
118,1001001118,6,4,100,5
119,1001001119,6,4,100,5
120,1001001120,6,4,100,5
121,1001001121,6,4,100,5
122,1001001122,6,4,100,5
123,1001001123,6,4,100,5
124,1001001124,6,4,100,5
125,1001001125,6,4,100,5
126,1001001126,6,4,100,5
127,1001001127,6,4,100,5
128,1001001128,6,4,100,5
129,1001001129,6,4,100,5
130,1001001130,6,4,100,5
131,1001001131,6,4,100,5
132,1001001132,6,4,100,5
133,1001001133,6,4,100,5
134,1001001134,6,4,100,5
135,1001001135,6,4,100,5
136,1001001136,6,4,100,5
137,1001001137,6,4,100,5
138,1001001138,6,4,100,5
139,1001001139,6,4,100,5
140,1001001140,6,4,100,5
141,1001001141,6,4,100,5
142,1001001142,6,4,100,5
143,1001001143,6,4,100,5
144,1001001144,6,4,100,5
145,1001001145,6,4,100,5
146,1001001146,6,4,100,5
147,1001001147,6,4,100,5
148,1001001148,6,4,100,5
149,1001001149,6,4,100,5
150,1001001150,6,4,100,5
151,1001001151,6,4,100,5
152,1001001152,6,4,100,5
153,1001001153,6,4,100,5
154,1001001154,6,4,100,5
155,1001001155,6,4,100,5
156,1001001156,6,4,100,5
157,1001001157,6,4,100,5
158,1001001158,6,4,100,5
159,1001001159,6,4,100,5
160,1001001160,6,4,100,5
161,1001001161,6,4,100,5
162,1001001162,6,4,100,5
163,1001001163,6,4,100,5
164,1001001164,6,4,100,5
165,1001001165,6,4,100,5
166,1001001166,6,4,100,5
167,1001001167,6,4,100,5
168,1001001168,6,4,100,5
169,1001001169,6,4,100,5
170,1001001170,6,4,100,5
171,1001001171,6,4,100,5
172,1001001172,6,4,100,5
173,1001001173,6,4,100,5
174,1001001174,6,4,100,5
175,1001001175,6,4,100,5
176,1001001176,6,4,100,5
177,1001001177,6,4,100,5
178,1001001178,6,4,100,5
179,1001001179,6,4,100,5
180,1001001180,6,4,100,5
181,1001001181,6,4,100,5
182,1001001182,6,4,100,5
183,1001001183,6,4,100,5
184,1001001184,6,4,100,5
185,1001001185,6,4,100,5
186,1001001186,6,4,100,5
187,1001001187,6,4,100,5
188,1001001188,6,4,100,5
189,1001001189,6,4,100,5
190,1001001190,6,4,100,5
191,1001001191,6,4,100,5
192,1001001192,6,4,100,5
193,1001001193,6,4,100,5
194,1001001194,6,4,100,5
195,1001001195,6,4,100,5
196,1001001196,6,4,100,5
197,1001001197,6,4,100,5
198,1001001198,6,4,100,5
199,1001001199,6,4,100,5
200,1001001200,6,4,100,5
201,1001001201,6,4,100,5
202,1001001202,6,4,100,5
203,1001001203,6,4,100,5
204,1001001204,6,4,100,5
205,1001001205,6,4,100,5
206,1001001206,6,4,100,5
207,1001001207,6,4,100,5
208,1001001208,6,4,100,5
209,1001001209,6,4,100,5
210,1001001210,6,4,100,5
211,1001001211,6,4,100,5
212,1001001212,6,4,100,5
213,1001001213,6,4,100,5
214,1001001214,6,4,100,5
215,1001001215,6,4,100,5
216,1001001216,6,4,100,5
217,1001001217,6,4,100,5
218,1001001218,6,4,100,5
219,1001001219,6,4,100,5
220,1001001220,6,4,100,5
221,1001001221,6,4,100,5
222,1001001222,6,4,100,5
223,1001001223,6,4,100,5
224,1001001224,6,4,100,5
225,1001001225,6,4,100,5
226,1001001226,6,4,100,5
227,1001001227,6,4,100,5
228,1001001228,6,4,100,5
229,1001001229,6,4,100,5
230,1001001230,6,4,100,5
231,1001001231,6,4,100,5
232,1001001232,6,4,100,5
233,1001001233,6,4,100,5
234,1001001234,6,4,100,5
235,1001001235,6,4,100,5
236,1001001236,6,4,100,5
237,1001001237,6,4,100,5
238,1001001238,6,4,100,5
239,1001001239,6,4,100,5
240,1001001240,6,4,100,5
241,1001001241,6,4,100,5
242,1001001242,6,4,100,5
243,1001001243,6,4,100,5
244,1001001244,6,4,100,5
245,1001001245,6,4,100,5
246,1001001246,6,4,100,5
247,1001001247,6,4,100,5
248,1001001248,6,4,100,5
249,1001001249,6,4,100,5
250,1001001250,6,4,100,5
251,1001001251,6,4,100,5
252,1001001252,6,4,100,5
253,1001001253,6,4,100,5
254,1001001254,6,4,100,5
255,1001001255,6,4,100,5
256,1001001256,6,4,100,5
257,1001001257,6,4,100,5
258,1001001258,6,4,100,5
259,1001001259,6,4,100,5
260,1001001260,6,4,100,5
261,1001001261,6,4,100,5
262,1001001262,6,4,100,5
263,1001001263,6,4,100,5
264,1001001264,6,4,100,5
265,1001001265,6,4,100,5
266,1001001266,6,4,100,5
267,1001001267,6,4,100,5
268,1001001268,6,4,100,5
269,1001001269,6,4,100,5
270,1001001270,6,4,100,5
271,1001001271,6,4,100,5
272,1001001272,6,4,100,5
273,1001001273,6,4,100,5
274,1001001274,6,4,100,5
275,1001001275,6,4,100,5
276,1001001276,6,4,100,5
277,1001001277,6,4,100,5
278,1001001278,6,4,100,5
279,1001001279,6,4,100,5
280,1001001280,6,4,100,5
281,1001001281,6,4,100,5
282,1001001282,6,4,100,5
283,1001001283,6,4,100,5
284,1001001284,6,4,100,5
285,1001001285,6,4,100,5
286,1001001286,6,4,100,5
287,1001001287,6,4,100,5
288,1001001288,6,4,100,5
289,1001001289,6,4,100,5
290,1001001290,6,4,100,5
291,1001001291,6,4,100,5
292,1001001292,6,4,100,5
293,1001001293,6,4,100,5
294,1001001294,6,4,100,5
295,1001001295,6,4,100,5
296,1001001296,6,4,100,5
297,1001001297,6,4,100,5
298,1001001298,6,4,100,5
299,1001001299,6,4,100,5
300,1001001300,6,4,100,5
301,1001001301,6,4,100,5
302,1001001302,6,4,100,5
303,1001001303,6,4,100,5
304,1001001304,6,4,100,5
305,1001001305,6,4,100,5
306,1001001306,6,4,100,5
307,1001001307,6,4,100,5
308,1001001308,6,4,100,5
309,1001001309,6,4,100,5
310,1001001310,6,4,100,5
311,1001001311,6,4,100,5
312,1001001312,6,4,100,5
313,1001001313,6,4,100,5
314,1001001314,6,4,100,5
315,1001001315,6,4,100,5
316,1001001316,6,4,100,5
317,1001001317,6,4,100,5
318,1001001318,6,4,100,5
319,1001001319,6,4,100,5
320,1001001320,6,4,100,5
321,1001001321,6,4,100,5
322,1001001322,6,4,100,5
323,1001001323,6,4,100,5
324,1001001324,6,4,100,5
325,1001001325,6,4,100,5
326,1001001326,6,4,100,5
327,1001001327,6,4,100,5
328,1001001328,6,4,100,5
329,1001001329,6,4,100,5
330,1001001330,6,4,100,5
331,1001001331,6,4,100,5
332,1001001332,6,4,100,5
333,1001001333,6,4,100,5
334,1001001334,6,4,100,5
335,1001001335,6,4,100,5
336,1001001336,6,4,100,5
337,1001001337,6,4,100,5
338,1001001338,6,4,100,5
339,1001001339,6,4,100,5
340,1001001340,6,4,100,5
341,1001001341,6,4,100,5
342,1001001342,6,4,100,5
343,1001001343,6,4,100,5
344,1001001344,6,4,100,5
345,1001001345,6,4,100,5
346,1001001346,6,4,100,5
347,1001001347,6,4,100,5
348,1001001348,6,4,100,5
349,1001001349,6,4,100,5
350,1001001350,6,4,100,5
351,1001001351,6,4,100,5
352,1001001352,6,4,100,5
353,1001001353,6,4,100,5
354,1001001354,6,4,100,5
355,1001001355,6,4,100,5
356,1001001356,6,4,100,5
357,1001001357,6,4,100,5
358,1001001358,6,4,100,5
359,1001001359,6,4,100,5
360,1001001360,6,4,100,5
361,1001001361,6,4,100,5
362,1001001362,6,4,100,5
363,1001001363,6,4,100,5
364,1001001364,6,4,100,5
365,1001001365,6,4,100,5
366,1001001366,6,4,100,5
367,1001001367,6,4,100,5
368,1001001368,6,4,100,5
369,1001001369,6,4,100,5
370,1001001370,6,4,100,5
371,1001001371,6,4,100,5
372,1001001372,6,4,100,5
373,1001001373,6,4,100,5
374,1001001374,6,4,100,5
375,1001001375,6,4,100,5
376,1001001376,6,4,100,5
377,1001001377,6,4,100,5
378,1001001378,6,4,100,5
379,1001001379,6,4,100,5
380,1001001380,6,4,100,5
381,1001001381,6,4,100,5
382,1001001382,6,4,100,5
383,1001001383,6,4,100,5
384,1001001384,6,4,100,5
385,1001001385,6,4,100,5
386,1001001386,6,4,100,5
387,1001001387,6,4,100,5
388,1001001388,6,4,100,5
389,1001001389,6,4,100,5
